occupation,mdn_weekly_earnings_total,mdn_weekly_earnings_men,mdn_weekly_earning_women
"Metal furnace operators, tenders, pourers, and casters",–,–,–
"Model makers and patternmakers, metal and plastic",–,–,–
"Molders and molding machine setters, operators, and tenders, metal and plastic",–,–,–
Tool and die makers,–,–,–
"Welding, soldering, and brazing workers","1,013","1,019",–
Other metal workers and plastic workers,884,913,724
Prepress technicians and workers,–,–,–
Printing press operators,970,"1,008",–
Print binding and finishing workers,–,–,–
Laundry and dry-cleaning workers,635,–,622
"Pressers, textile, garment, and related materials",–,–,–
Sewing machine operators,701,–,662
Shoe and leather workers,–,–,–
"Tailors, dressmakers, and sewers",–,–,–
"Textile machine setters, operators, and tenders",–,–,–
Upholsterers,–,–,–
"Other textile, apparel, and furnishings workers",–,–,–
Cabinetmakers and bench carpenters,–,–,–
Furniture finishers,–,–,–
"Sawing machine setters, operators, and tenders, wood",–,–,–
"Woodworking machine setters, operators, and tenders, except sawing",–,–,–
Other woodworkers,–,–,–
"Power plant operators, distributors, and dispatchers",–,–,–
Stationary engineers and boiler operators,"1,500","1,483",–
Water and wastewater treatment plant and system operators,"1,038","1,076",–
Miscellaneous plant and system operators,"1,465",–,–
"Chemical processing machine setters, operators, and tenders",–,–,–
"Crushing, grinding, polishing, mixing, and blending workers",891,894,–
Cutting workers,812,–,–
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",–,–,–
"Furnace, kiln, oven, drier, and kettle operators and tenders",–,–,–
"Inspectors, testers, sorters, samplers, and weighers",957,"1,034",831
Jewelers and precious stone and metal workers,–,–,–
Dental and ophthalmic laboratory technicians and medical appliance technicians,931,–,–
Packaging and filling machine operators and tenders,731,782,703
Painting workers,996,"1,029",–
Photographic process workers and processing machine operators,–,–,–
Adhesive bonding machine operators and tenders,–,–,–
Etchers and engravers,–,–,–
"Molders, shapers, and casters, except metal and plastic",–,–,–
"Paper goods machine setters, operators, and tenders",–,–,–
Tire builders,–,–,–
Helpers--production workers,–,–,–
Other production equipment operators and tenders,–,–,–
Other production workers,890,921,763
Transportation and material moving occupations,862,910,723
Supervisors of transportation and material moving workers,"1,167","1,276",902
Aircraft pilots and flight engineers,"2,311","2,307",–
Air traffic controllers and airfield operations specialists,–,–,–
Flight attendants,"1,064",–,996
"Ambulance drivers and attendants, except emergency medical technicians",–,–,–
"Bus drivers, school",922,–,799
"Bus drivers, transit and intercity",931,"1,001",821
Driver/sales workers and truck drivers,"1,043","1,062",771
Shuttle drivers and chauffeurs,858,–,–
Taxi drivers,762,785,–
"Motor vehicle operators, all other",815,871,–
Locomotive engineers and operators,–,–,–
Railroad conductors and yardmasters,"1,544","1,549",–
Other rail transportation workers,–,–,–
Sailors and marine oilers,–,–,–
Ship and boat captains and operators,–,–,–
Ship engineers,–,–,–
Parking attendants,–,–,–
Transportation service attendants,729,–,–
Transportation inspectors,–,–,–
Passenger attendants,–,–,–
Other transportation workers,–,–,–
Crane and tower operators,–,–,–
